Run    HMSP     SHMP
6417   6.3580   1.6910
6419   5.2700   3.7290
6420   5.2700   3.7290
6421   5.2700   3.7290
6422   5.2700   3.7290
6423   5.2700   3.7290
6424   5.2700   3.7290
6425   5.2700   3.7290
6426   5.2700   3.7290
6427   5.2700   3.1950
6428   5.2700   3.1950
6429   5.2700   3.1950
6430   5.2700   3.1950
6431   5.2700   3.1950
6432   5.2700   3.1950
6433   5.2700   3.1950
6434   5.2700   2.6620
6435   5.2700   2.6620
6436   5.2700   2.6620
6437   5.2700   2.6620
6438   5.2700   2.6620
6439   5.2700   2.6620
6440   5.2700   2.6620
6441   5.2700   2.1280
6442   5.2700   2.1280
6443   5.2700   2.1280
6444   5.2700   2.1280
6445   5.2700   2.1280
6446   5.2700   2.1280
6447   5.2700   2.1280
6448   5.2700   2.1280
6449   5.2700   3.7290
6450   5.2700   3.7290
6451   5.2700   3.7290
6452   5.2700   3.7290
6453   5.2700   3.7290
6454   5.2700   3.7290
6455   5.2700   3.7290
6456   5.2700   3.1950
6459   5.2700   3.1950
6460   5.2700   3.1950
6461   5.2700   3.1950
6462   5.2700   3.1950
6463   5.2700   3.1950
6464   5.2700   3.1950
6465   5.2700   2.6620
6466   5.2700   2.6620
6467   5.2700   2.6620
6468   5.2700   2.6620
6469   5.2700   2.6620
6470   5.2700   2.6620
6471   5.2700   2.1280
6472   5.2700   2.1280
6473   5.2700   2.1280
6474   5.2700   2.1280
6475   5.2700   2.1280
6476   5.2700   2.1280
6477   5.2700   2.1280
6478   5.2700   2.1280
6479   5.2700   2.1280
6482   6.3580   7
6483   6.3580   7
6484   6.3580   7
6485   6.3580   7
6486   6.3580   2.9660
6487   6.3580   2.9660
6488   6.3580   2.5410
6489   6.3580   2.5410
6490   6.3580   2.1160
6491   6.3580   2.1160
6492   6.3580   2.1160
6493   6.3580   2.1160
6494   6.3580   2.1160
6495   6.3580   1.6910
6496   6.3580   1.6910
6497   6.3580   1.6910
6498   6.3580   1.6910
6499   6.3580   1.6910
6500   6.3580   2.9660
6501   6.3580   2.9660
6502   6.3580   2.9660
6503   6.3580   2.5410
6504   6.3580   2.5410
6505   6.3580   2.5410
6506   6.3580   2.5410
6507   6.3580   2.5410
6509   6.3580   2.1160
6510   6.3580   2.1160
6511   6.3580   2.1160
6512   6.3580   2.1160
6513   6.3580   1.6910
6514   6.3580   1.6910
6515   6.3580   1.6910
6516   6.3580   1.6910
6517   6.3580   1.6910
6518   4.7360   4.1020
6519   4.7360   4.1020
6520   4.7360   4.1020
6521   4.7360   4.1020
6522   4.7360   4.1020
6523   4.7360   4.1020
6524   4.7360   4.1020
6525   4.7360   4.1020
6526   4.7360   4.1020
6527   4.7360   3.5150
6528   4.7360   3.5150
6529   4.7360   3.5150
6530   4.7360   3.5150
6531   4.7360   3.5150
6532   4.7360   3.5150
