run	 rate	 cur	charge	shmstr	hmstr	  hcal	  pcal	  aero	  TLT	   PRODUCT of eff
6146	379	46.07	8.125	0.99738	0.99438	0.98772	0.95902	0.95711	0.98354	0.8844
6154	192	22.48	37.186	0.99671	0.99517	0.98594	0.95895	0.96603	0.99004	0.8969
6155	28	19.92	2.263	1	0.98889	1	0.98643	0.95337	0.99635	0.9266
6166	232	54.95	7.933	0.99469	0.99646	0.99258	0.96013	0.96912	0.99635	0.9121
6168	55	38.58	60.177	0.99709	0.99288	0.9907	0.96024	0.97043	0.99635	0.9106
6169	58	40.8	4.743	1	1	0.99443	0.95715	0.97754	0.99635	0.9270
6170	405	25.17	36.708	0.99527	0.99473	0.98367	0.957	0.95174	0.98217	0.8712
6171	406	25.24	30.187	0.99559	0.99391	0.9849	0.95853	0.94764	0.9852	0.8722
6172	105	40	40.269	0.99814	0.99396	0.99112	0.9611	0.97885	0.99613	0.9215
6179	463	15.15	33.333	0.99373	0.99596	0.98177	0.95833	0.95855	0.98374	0.8781
6180	461	15.1	29.949	0.99449	0.99505	0.98571	0.95405	0.95149	0.98074	0.8684
6181	194	40.37	29.708	0.99483	0.99418	0.98586	0.95738	0.95441	0.9913	0.8832
6182	193	40.14	34.673	0.99737	0.99474	0.99044	0.9507	0.9632	0.99329	0.8938
6183	310	40.05	56.488	0.99378	0.99533	0.98405	0.96452	0.93811	0.98716	0.8694
6184	342	40.39	23.879	0.99609	0.99531	0.99199	0.95735	0.95803	0.98867	0.8918
6185	506	9.13	18.239	0.99418	0.9957	0.97894	0.95419	0.94183	0.9821	0.8553
6186	499	9	26.183	0.99453	0.99541	0.9834	0.95881	0.93135	0.98299	0.8546
6187	501	9.04	25.703	0.99329	0.99564	0.98083	0.95272	0.94035	0.98347	0.8546
6194	384	45.31	52.373	0.99536	0.99569	0.9931	0.95677	0.96692	0.97907	0.8915
6195	398	46.91	56.71	0.99433	0.99454	0.99479	0.95066	0.96388	0.97708	0.8808
6196	54	39.86	97.947	0.99659	0.99446	0.99636	0.95888	0.96395	0.99581	0.9089
6197	103	40.62	90.745	0.99462	0.99462	0.99615	0.95293	0.97685	0.9944	0.9122
6198	493	30.41	52.418	0.9947	0.99546	0.99357	0.95684	0.96297	0.97853	0.8870
6199	491	30.3	56.334	0.9944	0.994	0.99256	0.95161	0.96628	0.97907	0.8832
6205	474	15.22	47.981	0.99267	0.99575	0.99311	0.95479	0.95719	0.98138	0.8804
6208	477	15.34	14.558	0.99347	0.99622	0.99134	0.9529	0.95806	0.98245	0.8800
6209	475	15.27	59.752	0.99352	0.99588	0.99254	0.95312	0.95359	0.98196	0.8765
6210	472	15.18	25.359	0.9937	0.99586	0.99034	0.95917	0.96023	0.98026	0.8848
6211	188	39.99	63.121	0.99723	0.9963	0.99302	0.95899	0.94963	0.99265	0.8919
6212	184	39.24	143.34	0.99515	0.99556	0.99426	0.96423	0.96098	0.99154	0.9050
6213	346	40.56	83.337	0.99414	0.99639	0.99706	0.95314	0.96221	0.98686	0.8939
6214	347	40.74	70.607	0.99522	0.99628	0.99512	0.95044	0.9686	0.98644	0.8960
6215	470	8.08	9.697	0.99137	0.99622	0.9962	0.94877	0.95988	0.98528	0.8828
6216	470	8.09	38.638	0.99408	0.99567	0.99335	0.95922	0.95872	0.984	0.8897
6217	471	8.1	11.673	0.99173	0.99679	0.98395	0.95747	0.95812	0.98245	0.8766
6219	469	8.06	40.938	0.99393	0.99697	0.99387	0.95431	0.963	0.98295	0.8896
6220	469	8.07	35.378	0.9925	0.99537	0.99079	0.95404	0.96513	0.98256	0.8855
6242	32	40.35	78.125	0.99815	0.99722	0.99964	0.9517	0.98304	0.99731	0.9284
6243	32	40.4	63.841	0.99539	1	0.99832	0.94537	0.9732	0.99709	0.9116
6244	32	40.39	50.206	0.99714	0.9957	0.99776	0.95439	0.98042	0.99734	0.9245
6245	314	59.87	81.777	0.9957	0.99548	0.99439	0.93472	0.97573	0.97854	0.8796
6246	310	59.22	38.409	0.99724	0.99539	0.99579	0.94214	0.97359	0.98149	0.8899
6247	302	57.56	66.241	0.99573	0.99626	0.9953	0.93055	0.9757	0.97958	0.8781
6248	503	55.78	52.838	0.99426	0.99541	0.99635	0.93694	0.96942	0.97319	0.8716
6249	502	55.62	67.785	0.99528	0.99415	0.99609	0.94539	0.96706	0.97284	0.8766
6250	499	55.26	77.01	0.99488	0.99449	0.99586	0.94028	0.97218	0.97273	0.8761
6251	54	40.33	93.168	0.99722	0.99236	0.99492	0.9384	0.97621	0.99645	0.8987
6252	53	40.08	78.262	0.99911	0.99376	0.99795	0.94766	0.97588	0.99595	0.9126
6261	95	40.53	140.06	0.9976	0.99599	0.99558	0.96056	0.96733	0.99456	0.9142
6262	94	40.29	110.7	0.99688	0.99584	1.0001	0.9592	0.97191	0.99483	0.9208
6263	502	30.02	44.643	0.99373	0.99534	0.99463	0.9426	0.97108	0.97646	0.8793
6264	508	30.38	40.588	0.99289	0.99574	0.99588	0.94894	0.97174	0.97695	0.8870
6265	507	30.35	40.215	0.99326	0.99567	0.99607	0.94795	0.96964	0.97887	0.8863
6266	500	29.91	79.471	0.99429	0.99551	0.9961	0.94723	0.96739	0.97736	0.8830
6267	438	26.18	54.334	0.99445	0.99503	0.99438	0.94001	0.97067	0.98083	0.8806
6270	514	16.2	47.171	0.99429	0.99456	0.99572	0.95168	0.96717	0.98037	0.8885
6271	513	16.16	73.825	0.99534	0.99515	0.99473	0.94798	0.96527	0.98048	0.8840
6272	512	16.12	70.314	0.99492	0.99615	0.99492	0.94183	0.96871	0.9796	0.8813
6273	517	16.28	32.149	0.99292	0.99626	0.99476	0.95697	0.96214	0.98085	0.8887
6274	173	40.46	44.078	0.9986	0.9986	0.99835	0.95392	0.96525	0.99165	0.9090
6275	171	40.12	72.113	0.99495	0.99783	0.99679	0.95077	0.97014	0.99255	0.9060
6276	166	38.93	56.323	0.99312	0.99656	0.99223	0.94399	0.96869	0.99322	0.8919
6288	16	40.52	149.01	0.99882	0.9953	0.99934	0.96496	0.96998	0.9984	0.9284
6289	16	40.22	152.14	0.99754	0.99508	0.99323	0.95105	0.97507	0.9982	0.9126
6290	176	69.26	125.33	0.99685	0.99477	0.99383	0.9526	0.97104	0.9853	0.8982
6291	173	67.94	61.92	0.99733	0.99415	0.9953	0.95311	0.97274	0.98604	0.9022
6292	336	69.41	110.67	0.99549	0.99367	0.99454	0.94999	0.96685	0.97936	0.8850
6293	337	69.61	73.64	0.99414	0.99332	0.99318	0.94766	0.96934	0.97892	0.8819
6294	30	40.6	54.383	0.99708	0.99124	0.99474	0.96325	0.96569	0.99791	0.9126
6295	30	40.55	114.41	0.99723	0.99446	0.99466	0.95248	0.97024	0.99784	0.9096
6296	30	40.48	106.84	0.99691	0.99691	0.99626	0.97036	0.95957	0.9975	0.9196
6304	56	40.27	109.84	0.99606	0.99541	1.0018	0.94874	0.97188	0.99703	0.9131
6305	57	40.52	152.2	0.99438	0.99745	0.99273	0.957	0.96852	0.99649	0.9094
6306	486	50.45	38.986	0.99602	0.99464	0.99359	0.94728	0.96643	0.97852	0.8818
6307	485	50.28	153.87	0.99337	0.99494	0.99156	0.95053	0.96283	0.97984	0.8788
6308	487	50.58	110.09	0.99374	0.99459	0.99248	0.94955	0.96633	0.97689	0.8793
6309	369	70.18	93.746	0.99598	0.99373	0.99207	0.9562	0.96407	0.97941	0.8865
6310	378	71.87	33.26	0.99536	0.99277	0.99308	0.95116	0.96846	0.98012	0.8860
6311	39	40.84	38.108	0.99622	0.99748	1.0003	0.95918	0.96017	0.99796	0.9136
6312	39	40.56	62.197	0.9992	0.99841	0.99387	0.96049	0.96797	0.99752	0.9195
6317	77	40.63	74.863	0.99757	0.99452	0.99284	0.95795	0.96565	0.9968	0.9083
6318	77	40.44	88.326	0.99536	0.99165	0.99315	0.96227	0.96335	0.99638	0.9054
6322	498	45.7	66.761	0.99379	0.99371	0.98961	0.96124	0.94034	0.97884	0.8647
6323	496	45.47	48.923	0.99388	0.994	0.99132	0.95945	0.94387	0.98039	0.8695
6325	454	20.28	54.102	0.99412	0.99325	0.98721	0.95959	0.95281	0.98141	0.8747
6326	455	20.31	43.074	0.99486	0.996	0.98991	0.95701	0.9535	0.98085	0.8779
6327	453	20.23	34.934	0.99532	0.99632	0.98726	0.9594	0.9473	0.98435	0.8759
6328	148	40.2	58.458	0.99428	0.99264	0.99106	0.9677	0.95248	0.99443	0.8965
6329	149	40.53	97.897	0.99813	0.99627	0.9929	0.95639	0.96621	0.99458	0.9074
6339	488	11.19	3.796	0.99199	0.99039	0.99174	0.95451	0.96424	0.98125	0.8799
6340	483	11.08	32.867	0.99144	0.9963	0.98579	0.94858	0.95417	0.98175	0.8652
6341	487	11.17	45.349	0.99488	0.99502	0.98957	0.95741	0.94683	0.98299	0.8729
6342	487	11.18	51.851	0.99408	0.99618	0.98838	0.95966	0.94433	0.98283	0.8718
6343	489	11.21	42.871	0.99203	0.99547	0.98239	0.9542	0.94446	0.98451	0.8608
6344	489	11.23	13.131	0.99307	0.99733	0.98851	0.96377	0.94144	0.98478	0.8748
6345	278	40.41	139.27	0.9945	0.99597	0.98883	0.95846	0.93146	0.99063	0.8662
6346	277	40.21	31.948	0.99407	0.99802	0.97567	0.9601	0.91231	0.99031	0.8396
6347	489	11.22	15.371	0.99576	0.99491	0.98908	0.95662	0.92589	0.98209	0.8524
6348	474	24.31	60.94	0.99436	0.99513	0.99193	0.95662	0.95068	0.9808	0.8755
6349	472	24.22	76.094	0.99366	0.99556	0.99014	0.95323	0.95763	0.98336	0.8792
6350	473	24.27	72.858	0.9934	0.99495	0.99295	0.95358	0.954	0.98148	0.8763
6351	473	24.26	43.933	0.99413	0.99665	0.99183	0.94455	0.9574	0.98272	0.8733
6352	108	40.4	67.815	0.99343	0.99531	0.99192	0.95577	0.94837	0.99512	0.8847
6353	106	39.83	67.924	0.99139	0.99508	0.98651	0.95716	0.958	0.99589	0.8887
6354	108	40.31	149.68	0.99727	0.99408	0.99615	0.96137	0.95973	0.99515	0.9067
6359	137	69.31	141.31	0.99649	0.99315	0.99462	0.95778	0.966	0.98882	0.9005
6360	139	69.94	102.73	0.99646	0.99568	0.9968	0.95833	0.96829	0.98789	0.9066
6363	13	40.63	28.414	0.99194	1	1	0.96832	0.98478	0.99814	0.9441
6364	13	39.9	74.608	1	0.99507	0.99773	0.98022	0.95052	0.99845	0.9236
6365	13	40.63	71.724	1	0.99832	0.99622	0.9497	0.97145	0.99858	0.9163
6367	269	68.78	84.92	0.99403	0.99257	0.99629	0.94793	0.96567	0.9868	0.8879
6368	274	70.31	83.765	0.99469	0.9925	0.99464	0.95781	0.96391	0.98564	0.8935
6370	269	68.77	70.41	0.99596	0.99276	0.99437	0.95297	0.9626	0.98261	0.8862
6371	24	40.53	85.46	0.99882	0.99529	0.99578	0.95552	0.96269	0.99858	0.9093
6372	24	40.1	98.998	0.99626	0.99532	0.99875	0.95864	0.96853	0.99785	0.9175
6373	47	40	124.21	0.99604	0.99683	0.99573	0.96352	0.95666	0.99758	0.9091
6374	46	39.88	53.077	0.99669	0.98676	0.99488	0.95371	0.95456	0.99707	0.8882
6375	468	59.27	95.951	0.99313	0.99419	0.99277	0.9504	0.95749	0.97912	0.8734
6376	473	59.86	148.58	0.99544	0.99363	0.99219	0.94817	0.95556	0.97812	0.8697
6377	472	59.82	64.842	0.99591	0.99519	0.99571	0.95831	0.95266	0.97914	0.8822
6378	446	27.08	85.176	0.99372	0.99448	0.99061	0.9549	0.93764	0.98305	0.8617
6379	446	27.11	86.193	0.99493	0.99564	0.99054	0.94781	0.94183	0.98264	0.8607
6380	448	27.22	94.317	0.99456	0.99439	0.99304	0.95267	0.94022	0.98243	0.8642
6381	448	27.24	18.374	0.99645	0.99468	0.99382	0.93252	0.94657	0.98411	0.8557
6382	91	39.86	74.503	0.99363	0.99745	1.0012	0.95616	0.94432	0.99636	0.8927
6383	90	39.65	108.64	0.99336	0.99502	0.99764	0.96213	0.95089	0.9958	0.8984
6385	35	40.45	79.374	0.99834	0.99503	0.9941	0.96656	0.95873	0.99781	0.9131
6386	35	40.41	29.745	0.99761	0.99522	0.99205	0.94752	0.9669	0.99688	0.8996
6387	319	69.62	128.92	0.9954	0.99332	0.99282	0.96033	0.94946	0.98412	0.8809
6388	316	68.98	105.55	0.99523	0.99384	0.99206	0.95763	0.94929	0.98255	0.8765
6389	35	39.81	63.811	0.99615	0.99423	0.99631	0.9654	0.96777	0.99794	0.9200
6390	70	39.99	59.328	0.9963	0.99722	0.98684	0.95203	0.97546	0.99737	0.9081
6391	70	39.67	40.257	0.9987	0.98828	0.98832	0.94899	0.97245	0.99635	0.8969
6393	502	51.83	18.874	0.99326	0.99539	0.99143	0.95828	0.94289	0.97993	0.8679
6394	504	51.99	56.76	0.99432	0.99609	0.98835	0.96054	0.95016	0.97765	0.8734
6395	506	52.18	71.774	0.99537	0.99412	0.99239	0.95363	0.94623	0.97979	0.8682
6396	512	52.82	20.871	0.99667	0.99334	0.99423	0.95659	0.9383	0.97976	0.8656
6397	312	68.1	43.316	0.99462	0.99343	0.9918	0.95762	0.9539	0.98538	0.8821
6398	307	66.84	70.432	0.995	0.99438	0.99164	0.961	0.95398	0.98453	0.8856
6399	483	23.97	15.387	0.99489	0.99582	0.99387	0.95963	0.95002	0.97912	0.8789
6400	511	25.43	7.332	0.99711	0.99423	0.99272	0.96503	0.94817	0.97768	0.8804
6401	497	24.69	3.739	0.99587	0.9938	0.99165	0.95408	0.95133	0.98019	0.8731
6402	500	24.84	54.699	0.9952	0.99453	0.98697	0.95849	0.95431	0.98214	0.8776
6403	502	24.94	63.88	0.99401	0.9947	0.98811	0.95771	0.95078	0.98123	0.8729
6404	502	24.95	49.13	0.99356	0.99458	0.98596	0.95428	0.95407	0.98223	0.8713
6405	139	40.23	60.876	0.99632	0.99264	0.99257	0.9582	0.94648	0.99551	0.8863
6406	139	40.16	54.543	0.99694	0.9949	0.99209	0.94654	0.95187	0.99499	0.8821
6407	265	40.82	54.806	0.99374	0.99896	0.98346	0.95807	0.90857	0.99002	0.8414
6408	262	40.33	74.596	0.99412	0.99244	0.99025	0.94183	0.93687	0.9927	0.8558
6410	480	12.12	8.195	0.99253	0.9944	0.98706	0.95061	0.91738	0.98203	0.8343
6411	478	12.04	39.582	0.99484	0.99608	0.98862	0.96252	0.92211	0.98371	0.8553
6412	480	12.09	29.652	0.99346	0.99572	0.98787	0.95221	0.933	0.98304	0.8534
6413	515	13.04	31.703	0.99215	0.99382	0.99118	0.95181	0.92971	0.98188	0.8492
6415	515	13.04	42.428	0.99402	0.99419	0.9894	0.95586	0.91989	0.98367	0.8457
6416	516	13.07	32.509	0.99476	0.99408	0.98715	0.96116	0.93301	0.98283	0.8604
6417	519	13.12	24.938	0.99403	0.99522	0.99008	0.9542	0.92335	0.98109	0.8466
6419	425	65.25	103.41	0.99592	0.99443	0.99233	0.9549	0.96688	0.97342	0.8833
6421	453	69.64	80.067	0.9946	0.99425	0.99467	0.95217	0.96671	0.97434	0.8822
6422	435	66.9	55.855	0.99529	0.99466	0.99224	0.95125	0.96241	0.97557	0.8773
6423	42	38.85	25.403	0.99606	0.99606	0.99415	0.96318	0.9839	0.99679	0.9317
6425	43	39.35	54.747	0.99802	0.99406	0.99757	0.95693	0.97208	0.99712	0.9180
6426	43	39.62	31.42	0.99196	0.99679	0.9914	0.96723	0.9779	0.9976	0.9250
6427	86	40.67	54.001	1	0.99698	0.99219	0.95145	0.97403	0.99563	0.9127
6428	83	39.32	60.584	0.99741	0.99655	0.99769	0.95149	0.9628	0.99617	0.9050
6429	522	40.27	44.47	0.99596	0.99499	0.99367	0.95526	0.96472	0.97681	0.8864
6430	519	40.02	66.945	0.99441	0.9961	0.99363	0.95759	0.96167	0.97639	0.8850
6431	519	39.97	34.655	0.99515	0.99578	0.99085	0.95482	0.96068	0.97613	0.8792
6432	396	30.26	62.739	0.99512	0.99535	0.99143	0.96071	0.96309	0.98148	0.8918
6433	267	20.19	59.628	0.99651	0.9949	0.9931	0.95602	0.96759	0.98853	0.9003
6434	519	20.11	62.96	0.99302	0.99457	0.99362	0.95064	0.95127	0.97971	0.8694
6435	471	18.18	61.557	0.99326	0.99537	0.98989	0.95118	0.95673	0.9819	0.8745
6436	472	18.23	37.28	0.99442	0.99407	0.99064	0.95558	0.9459	0.98113	0.8684
6439	162	40.02	46.072	0.99431	0.99773	0.98936	0.94665	0.95329	0.99331	0.8798
6440	165	40.63	54.442	0.99355	0.99631	0.98819	0.95455	0.96969	0.99366	0.8997
6441	306	40.63	49.349	0.99426	0.99522	0.98795	0.95657	0.95757	0.98995	0.8865
6442	306	40.62	66.552	0.9957	0.99355	0.99694	0.94872	0.96086	0.98846	0.8887
6443	477	9.52	29.069	0.99299	0.99613	0.99007	0.95938	0.95623	0.9846	0.8846
6444	480	9.59	32.324	0.99381	0.99602	0.99238	0.94636	0.95811	0.98446	0.8768
6445	479	9.56	30.542	0.993	0.99557	0.99117	0.96029	0.95742	0.98447	0.8869
6446	480	9.59	27.733	0.99352	0.99767	0.99027	0.96343	0.95829	0.98381	0.8915
6447	479	9.56	28.031	0.99351	0.997	0.98919	0.95689	0.95933	0.98289	0.8841
6448	480	9.57	31.553	0.99329	0.99719	0.98998	0.95227	0.96032	0.98501	0.8833
6451	221	59	65.131	0.99419	0.99313	0.99661	0.94506	0.97507	0.98259	0.8910
6452	222	59.16	76.587	0.99592	0.99668	0.99779	0.94153	0.97608	0.98286	0.8946
6453	224	59.81	78.869	0.9965	0.99606	0.99741	0.94578	0.97396	0.98256	0.8960
6454	24	40.7	151.88	0.99938	0.99502	0.99863	0.95181	0.97583	0.99764	0.9202
6455	23	40.29	35.347	1	1	0.99098	0.94567	0.97719	0.99749	0.9135
6456	41	40.46	105.82	0.99648	0.99824	1.0007	0.94746	0.96617	0.99656	0.9081
6459	421	62.6	113.58	0.99535	0.995	0.99517	0.93991	0.97131	0.97625	0.8784
6460	424	63.01	10.082	0.99505	0.99405	0.98645	0.92536	0.95437	0.97746	0.8423
6461	370	54.82	120.58	0.99538	0.99521	0.99537	0.94616	0.97407	0.97918	0.8898
6462	327	48.37	108.7	0.99567	0.99587	0.99817	0.94713	0.97045	0.98292	0.8942
6463	238	35.09	13.03	0.9952	0.9952	0.99423	0.94535	0.97041	0.98547	0.8902
6464	243	35.69	93.646	0.9957	0.99496	0.99723	0.94827	0.97116	0.98639	0.8974
6465	486	37.59	115.32	0.99355	0.99513	0.9942	0.94674	0.97204	0.97728	0.8841
6466	483	37.35	97.803	0.99355	0.9963	0.99502	0.95235	0.97006	0.9777	0.8896
6467	488	37.79	73.015	0.99438	0.99449	0.99361	0.93866	0.97166	0.97842	0.8768
6468	74	40.39	63.406	0.9988	0.9964	0.99495	0.97147	0.97884	0.99681	0.9386
6469	74	40.54	17.644	0.99546	0.98636	1	0.95798	0.96343	0.99655	0.9031
6470	75	40.82	72.894	0.99791	0.99373	0.99742	0.93516	0.97927	0.99574	0.9019
6471	139	40.55	61.156	0.99419	0.99767	0.99648	0.96638	0.96719	0.99423	0.9185
6472	140	40.68	79.677	0.99829	0.99401	0.98412	0.94945	0.96769	0.99438	0.8922
6473	490	19.26	36.224	0.99323	0.99526	0.99701	0.94252	0.96868	0.98108	0.8828
6474	487	19.15	7.241	0.99171	0.99793	0.99007	0.93469	0.96336	0.98072	0.8653
6475	488	19.17	48.187	0.99473	0.99473	0.99871	0.9547	0.95895	0.9815	0.8880
6476	491	19.32	48.062	0.9944	0.99605	0.99572	0.94555	0.9645	0.98279	0.8839
6477	487	19.15	47.992	0.99412	0.9936	0.99504	0.95302	0.96923	0.98244	0.8919
6478	490	19.28	48.269	0.99326	0.99545	0.99578	0.93915	0.96635	0.98098	0.8765
6479	490	19.26	43.928	0.99399	0.99709	0.99022	0.94388	0.95513	0.9815	0.8684
6486	185	59.06	102.91	0.99594	0.99416	0.99572	0.95325	0.96479	0.98669	0.8946
6487	20	40.47	56.18	0.99748	0.99832	0.9946	0.96866	0.96318	0.99863	0.9228
6488	35	40.45	49.179	0.99927	0.99561	0.99384	0.95593	0.96198	0.99761	0.9071
6489	358	60.97	86.264	0.99543	0.99255	0.99223	0.94965	0.96094	0.98544	0.8816
6490	478	42.27	72.321	0.99433	0.99386	0.99179	0.94905	0.95927	0.97943	0.8739
6491	484	42.8	17.589	0.99502	0.99387	0.99525	0.94305	0.95462	0.98321	0.8712
6493	477	42.17	72.636	0.99536	0.99349	0.99099	0.95242	0.95421	0.98021	0.8730
6494	66	40.5	62.118	0.9946	0.9976	0.99304	0.96676	0.94932	0.99654	0.9012
6495	120	40.17	69.701	0.99649	0.99699	0.99777	0.95181	0.94342	0.99516	0.8858
6496	447	20.24	22.964	0.99455	0.99426	0.99045	0.94927	0.94103	0.98264	0.8597
6497	445	20.16	58.913	0.99471	0.99431	0.98965	0.95015	0.9379	0.98238	0.8569
6498	448	20.31	47.279	0.99519	0.9954	0.99027	0.95082	0.94114	0.98329	0.8632
6499	445	20.16	36.212	0.99587	0.99416	0.9909	0.9582	0.93524	0.98409	0.8652
6500	372	53.66	32.432	0.99391	0.99391	0.99218	0.95303	0.9513	0.98097	0.8717
6501	425	61.63	40.601	0.99532	0.9942	0.98955	0.95741	0.94111	0.97692	0.8619
