Run	Hms_ang	shms_ang rate	hms_P    shms_P	
6224   -17.25   14.164   2.58   4.9730   2.2460
6225   -17.25   14.164   2.56   4.9730   2.2460
6237   -17.25   14.164   8.44   4.9730   3.9360
6240   -17.25   14.164   8.42   4.9730   3.9360
6241   -17.25   14.164   8.39   4.9730   3.9360
6242   -17.25   14.164   2.20   4.9730   3.9360
6243   -17.25   14.164   2.20   4.9730   3.9360
6244   -17.25   14.164   2.21   4.9730   3.9360
6245   -17.25   14.164   17.6   4.9730   3.9360
6246   -17.25   14.164   17.4   4.9730   3.9360
6247   -17.25   14.164   16.8   4.9730   3.9360
6248   -17.25   14.164   16.4   4.9730   3.3730
6249   -17.25   14.164   16.3   4.9730   3.3730
6250   -17.25   14.164   16.2   4.9730   3.3730
6251   -17.25   14.164   2.20   4.9730   3.3730
6252   -17.25   14.164   2.19   4.9730   3.3730
6253   -17.25   14.164   9.15   4.9730   3.3730
6254   -17.25   14.164   9.15   4.9730   3.3730
6255   -17.25   14.164   8.84   4.9730   3.3730
6256   -17.25   14.164   9.23   4.9730   2.8100
6257   -17.25   14.164   8.96   4.9730   2.8100
6258   -17.25   14.164   8.86   4.9730   2.8100
6259   -17.25   14.164   8.91   4.9730   2.8100
6260   -17.25   14.164   9.06   4.9730   2.8100
6261   -17.25   14.164   2.21   4.9730   2.8100
6262   -17.25   14.164   2.20   4.9730   2.8100
6263   -17.25   14.164   8.73   4.9730   2.8100
6264   -17.25   14.164   8.83   4.9730   2.8100
6265   -17.25   14.164   8.83   4.9730   2.8100
6266   -17.25   14.164   8.70   4.9730   2.8100
6267   -17.25   14.164   7.61   4.9730   2.8100
6270   -17.25   14.164   4.70   4.9730   2.2460
6271   -17.25   14.164   4.69   4.9730   2.2460
6272   -17.25   14.164   4.67   4.9730   2.2460
6273   -17.25   14.164   4.72   4.9730   2.2460
6274   -17.25   14.164   2.20   4.9730   2.2460
6275   -17.25   14.164   2.18   4.9730   2.2460
6276   -17.25   14.164   2.12   4.9730   2.2460
